"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"1",50,28,19,11,12,10,15,25,58,74,102,81,90,92,95,82,107,100,84,63,66,50,39,33
"5",43,22,23,14,12,12,30,18,36,60,67,66,85,86,108,71,76,85,85,67,55,40,53,49
"6",32,31,30,19,18,9,6,10,27,20,34,40,40,39,49,40,31,44,35,30,37,41,35,30
"7",30,12,7,13,11,11,8,13,17,27,20,26,32,31,28,25,46,34,32,30,20,23,17,17
"9",31,24,28,16,19,15,8,7,35,27,37,52,50,61,44,46,43,54,52,41,47,49,42,45
"10",38,18,20,25,19,21,25,22,49,65,80,76,70,79,79,72,89,74,96,72,65,59,43,52
"13",51,40,28,27,29,14,21,32,68,60,70,96,78,81,103,100,81,77,66,72,65,43,57,60
"14",57,48,23,17,24,20,35,32,61,78,116,119,96,110,146,140,110,106,115,107,88,99,81,59
"17",63,33,27,28,24,23,29,35,70,94,101,95,94,107,78,73,96,94,97,79,79,64,56,68
"18",56,44,39,24,30,32,31,34,81,118,114,123,136,145,167,127,151,149,136,128,118,100,78,101
"19",52,27,24,25,27,31,58,66,126,140,138,144,146,140,173,152,162,120,135,113,91,71,71,62
"20",13,15,5,11,5,4,12,16,41,56,57,65,79,71,79,67,61,50,48,45,44,32,27,24
"22",2,3,3,0,1,0,5,4,10,19,23,22,13,22,17,24,17,19,19,16,10,9,5,6
"23",9,11,12,10,11,12,25,29,37,36,37,34,30,34,52,26,47,43,29,36,29,23,22,16
"24",12,6,5,1,5,6,9,14,34,28,44,37,40,37,31,18,38,45,39,33,28,10,25,11
"25",15,11,17,10,12,16,16,27,51,48,46,49,57,59,53,56,68,68,47,41,43,26,23,25
"26",6,1,8,5,7,12,10,9,17,24,25,19,18,19,29,24,31,31,34,20,17,15,11,13
"28",3,6,6,6,7,2,5,14,18,18,25,18,25,17,28,20,30,26,23,15,28,17,12,8
"30",14,6,11,6,11,5,8,7,18,17,18,19,24,22,18,14,32,36,21,24,21,20,12,15
"32",10,10,10,3,3,4,3,9,21,17,33,31,23,26,32,28,38,35,44,17,26,27,24,22
"33",12,17,11,8,11,9,12,13,30,43,38,37,47,34,35,34,56,36,31,35,33,15,19,26
"34",12,15,18,12,23,23,18,21,25,28,27,37,33,31,42,43,47,61,48,33,35,36,25,24
"40",24,12,9,12,18,15,16,34,58,49,56,32,33,55,61,49,67,55,50,30,29,21,26,17
"41",19,11,10,7,14,16,20,23,36,35,38,30,37,52,29,38,53,47,43,22,29,16,17,12
"42",12,9,5,4,6,6,10,15,38,31,20,18,31,30,29,27,40,43,35,30,15,16,13,17
"43",14,15,10,12,12,7,16,29,61,49,46,47,51,48,54,53,61,64,76,53,47,38,25,29
"44",22,17,15,6,17,16,16,31,36,44,42,43,50,48,43,66,82,68,53,38,44,42,43,14
"45",17,11,9,14,15,12,11,25,57,62,40,36,35,61,73,55,76,83,69,50,44,34,31,20
"46",5,13,8,8,11,10,10,15,41,31,32,35,42,39,45,48,52,54,35,35,30,22,24,17
"47",39,24,30,18,26,19,31,42,82,84,55,66,84,85,92,87,93,117,85,88,74,56,71,53
"48",23,10,4,8,3,11,14,19,49,43,36,33,35,34,75,67,49,58,46,32,37,29,19,18
"49",20,8,7,7,10,7,14,18,56,40,39,52,51,51,79,55,95,89,68,60,36,34,30,23
