"","1","2","3","4","5","6","7","8","9","10","11","12"
"1",178,220,208,217,235,282,225,274,269,235,187,214
"5",143,162,188,143,198,213,220,209,237,181,207,173
"6",92,124,117,132,131,117,111,124,140,132,104,121
"7",71,72,85,79,92,97,85,105,78,101,76,92
"9",125,101,112,135,139,134,139,128,115,132,103,117
"10",202,190,179,233,271,269,213,228,218,229,234,214
"13",249,187,236,254,285,266,276,213,244,310,267,235
"14",281,251,288,309,380,348,352,359,302,337,316,336
"17",253,192,223,256,315,264,289,264,284,295,258,276
"18",319,278,344,356,390,386,328,364,397,397,404,410
"19",447,331,385,419,446,424,344,355,422,431,422,462
"20",142,125,127,142,158,152,119,125,138,156,132,153
"22",36,41,29,46,39,49,41,37,41,36,39,44
"23",126,87,102,104,129,132,98,96,139,114,111,132
"24",78,74,81,87,101,90,97,77,75,89,100,90
"25",135,118,125,147,141,143,156,154,128,164,158,130
"26",50,67,60,72,90,74,71,90,57,79,63,74
"28",70,69,62,71,85,61,83,77,76,69,64,55
"30",51,58,70,60,69,64,72,72,66,66,52,72
"32",90,90,71,88,99,100,118,96,73,92,70,83
"33",104,90,104,108,97,99,107,103,116,110,126,85
"34",99,126,99,123,129,154,148,139,141,129,104,105
"40",131,145,126,152,155,141,144,128,146,163,140,147
"41",105,120,100,103,116,125,117,128,147,119,106,135
"42",90,97,78,87,105,122,94,103,91,98,94,88
"43",181,140,169,155,173,166,175,145,149,165,156,152
"44",130,124,127,125,135,154,150,124,157,133,114,130
"45",138,158,143,144,162,170,152,158,135,173,156,176
"46",134,127,140,111,140,121,126,140,116,121,114,125
"47",270,291,230,193,270,273,259,229,275,232,248,244
"48",126,109,145,143,135,148,148,141,114,123,119,120
"49",163,171,128,139,149,140,143,133,184,145,164,156
"50",115,108,75,114,92,112,108,111,122,109,99,118
"52",179,201,196,176,187,180,180,179,187,177,209,169
"60",126,118,124,132,150,161,156,139,125,152,99,126
"61",261,223,261,279,308,276,226,218,241,253,259,261
"62",231,180,211,186,223,198,243,169,195,214,205,242
"63",206,163,166,167,199,211,201,198,190,201,172,224
"66",260,223,249,234,243,217,239,197,259,226,227,262
"67",284,215,233,225,247,257,281,254,256,269,283,210
"68",223,192,159,206,203,215,184,174,196,212,198,204
"69",129,127,109,134,127,133,146,129,122,149,132,126
"70",204,217,234,208,250,272,206,220,249,234,216,231
"71",175,168,156,157,197,191,172,174,205,208,198,171
"72",218,190,192,176,239,255,227,201,231,221,240,231
"73",151,119,162,167,155,181,163,151,148,167,159,164
"75",353,332,362,347,344,376,342,382,404,413,352,372
"76",75,92,111,98,107,125,124,109,100,116,85,93
"77",145,125,122,164,143,159,156,161,138,162,126,141
"78",136,131,128,132,181,188,161,152,185,174,151,185
"79",133,154,138,150,172,161,160,164,198,146,164,170
"81",88,90,97,94,93,100,77,104,81,86,95,104
"83",149,118,135,146,165,139,148,179,159,160,131,136
"84",186,186,195,207,238,226,213,199,213,209,215,205
"88",76,73,86,107,125,100,107,92,120,100,95,99
"90",237,228,193,201,242,263,245,225,265,254,239,220
"94",143,139,166,153,177,155,174,194,183,191,158,150
"100",39,51,29,34,34,58,48,41,42,32,43,48
"101",52,68,60,53,50,74,61,72,57,46,54,63
"102",246,235,253,249,275,259,239,276,262,317,259,252
"103",227,205,198,240,246,214,222,215,263,230,219,221
"104",249,266,282,261,296,313,274,268,286,290,270,264
"105",464,399,400,420,468,476,467,451,452,512,491,457
"106",225,224,237,202,237,257,250,228,255,253,261,232
"107",291,261,265,283,266,246,249,234,263,252,253,250
"108",378,341,334,342,372,382,332,344,361,366,337,371
"109",425,419,396,376,448,477,447,443,422,444,420,439
"110",246,204,200,199,224,268,243,249,236,215,228,290
"111",227,223,226,229,287,302,277,248,280,318,318,275
"112",181,172,177,176,202,189,202,251,203,220,198,211
"113",241,207,202,221,234,259,279,248,241,236,206,236
"114",292,287,284,305,291,352,293,266,293,355,301,327
"115",240,257,227,242,261,267,250,263,260,257,283,234
"120",252,285,212,183,184,239,191,195,229,239,212,160
"121",65,63,43,49,55,54,43,54,41,60,54,54
"122",268,247,231,240,272,270,240,221,246,282,243,216
"123",158,123,126,107,104,161,121,117,135,133,116,146
