"","1","2"
"1",167,169
"5",150,130
"6",91,86
"7",54,69
"9",107,102
"10",168,188
"13",193,204
"14",241,258
"17",216,179
"18",249,249
"19",397,314
"20",122,124
"22",42,30
"23",128,102
"24",86,84
"25",123,115
"26",72,58
"28",57,55
"30",64,48
"32",97,65
"33",93,97
"34",118,100
"40",141,132
"41",130,83
"42",87,81
"43",168,142
"44",150,124
"45",192,128
"46",121,104
"47",286,251
"48",109,111
"49",164,126
"50",119,106
"52",170,158
"60",135,105
"61",222,193
"62",210,187
"63",173,167
"66",244,223
"67",258,213
"68",193,188
"69",117,103
"70",225,203
"71",168,150
"72",211,178
"73",145,142
"75",355,344
"76",101,98
"77",151,125
"78",144,132
"79",167,166
"81",89,93
"83",129,122
"84",191,186
"88",101,94
"90",193,222
"94",172,148
"100",45,44
"101",71,67
"102",234,237
"103",217,177
"104",315,212
"105",443,419
"106",266,201
"107",262,199
"108",312,308
"109",464,439
"110",228,188
"111",238,177
"112",197,152
"113",223,211
"114",301,249
"115",252,209
"120",214,154
"121",42,31
"122",221,190
"123",153,123
