"","1","2","3","4","5","6","7"
"1",271,395,428,454,416,488,333
"5",331,319,332,300,341,400,425
"6",204,197,189,197,229,259,240
"7",154,127,153,120,147,131,155
"9",231,196,201,190,196,262,283
"10",313,337,365,356,421,494,326
"13",355,382,441,440,451,508,426
"14",441,512,560,603,538,588,560
"17",325,446,514,497,512,543,410
"18",484,572,708,699,688,677,562
"19",514,715,790,751,726,771,566
"20",201,219,264,229,264,247,198
"22",66,73,81,84,64,86,53
"23",129,215,199,190,186,252,187
"24",131,162,160,160,185,206,131
"25",191,237,261,254,287,335,201
"26",100,147,137,124,122,123,130
"28",107,102,115,102,110,139,117
"30",91,124,107,94,115,158,143
"32",143,138,129,140,148,194,153
"33",131,166,190,177,186,206,182
"34",206,231,196,216,178,234,214
"40",167,273,277,258,286,308,188
"41",134,220,232,197,197,243,170
"42",121,153,152,145,173,177,138
"43",251,300,284,278,306,340,292
"44",212,281,258,212,246,294,238
"45",227,283,243,247,241,324,297
"46",188,233,219,200,209,249,222
"47",377,397,395,384,389,528,468
"48",169,210,219,216,212,281,227
"49",221,263,309,259,301,319,264
"50",138,155,212,179,193,207,183
"52",278,313,329,314,302,365,318
"60",185,206,202,216,244,248,193
"61",398,484,478,463,466,477,333
"62",322,356,363,358,354,391,343
"63",299,338,304,337,354,360,316
"66",333,489,424,422,436,397,180
"67",439,455,406,391,471,463,506
"68",243,330,336,337,315,359,268
"69",183,227,224,225,244,275,250
"70",327,461,437,374,402,409,324
"71",256,308,297,274,299,346,254
"72",246,381,420,444,432,388,340
"73",223,274,264,263,288,298,280
"75",534,586,608,584,578,658,619
"76",145,200,168,173,198,206,155
"77",236,271,254,228,243,269,286
"78",221,264,279,297,290,329,259
"79",213,268,293,286,286,312,229
"81",142,160,167,150,159,166,150
"83",262,249,261,230,238,308,290
"84",258,378,416,357,353,384,281
"88",135,181,199,176,190,195,163
"90",260,443,406,384,378,398,309
"94",147,255,281,300,271,298,254
"100",72,98,90,78,81,96,77
"101",78,123,107,115,95,126,84
"102",399,403,458,411,449,501,407
"103",247,381,370,367,335,411,300
"104",380,491,501,464,480,549,487
"105",605,738,714,766,740,842,706
"106",372,350,372,344,366,442,414
"107",312,476,486,563,451,496,328
"108",408,581,626,578,583,660,520
"109",598,676,764,663,682,706,672
"110",366,370,355,393,388,428,432
"111",365,477,452,500,481,477,432
"112",284,347,334,345,314,347,288
"113",348,362,349,386,370,416,390
"114",432,500,508,530,511,613,463
"115",439,433,380,401,404,452,516
"120",294,387,410,379,365,459,374
"121",238,278,286,289,300,322,249
"122",301,482,481,489,465,537,366
"123",169,221,250,244,221,239,259
