"","0","1"
"1",1040,346
"5",880,383
"6",520,207
"7",380,150
"9",595,278
"10",973,335
"13",1021,398
"14",1404,483
"17",1226,381
"18",1709,553
"19",1799,495
"20",722,205
"22",211,58
"23",495,155
"24",420,136
"25",666,218
"26",307,98
"28",268,109
"30",290,109
"32",365,131
"33",474,168
"34",504,213
"40",630,198
"41",521,133
"42",376,124
"43",661,256
"44",668,228
"45",687,253
"46",494,168
"47",1046,455
"48",572,180
"49",710,239
"50",454,173
"52",744,279
"60",557,203
"61",1221,377
"62",937,345
"63",920,308
"66",1055,213
"67",1095,427
"68",835,282
"69",561,225
"70",1038,316
"71",743,269
"72",1073,314
"73",695,257
"75",1492,540
"76",461,139
"77",563,243
"78",722,265
"79",650,229
"81",364,174
"83",587,229
"84",946,259
"88",494,159
"90",977,250
"94",677,204
"100",206,84
"101",251,82
"102",1015,375
"103",813,284
"104",1231,424
"105",1891,690
"106",941,390
"107",1123,307
"108",1409,391
"109",1724,642
"110",1051,415
"111",1107,448
"112",807,296
"113",899,360
"114",1329,478
"115",1032,429
"120",1023,284
"121",1296,410
"122",1308,361
"123",584,229
